ID,Rerollable,Epic,Chain,Art,Art ID,Name,Description,Difficulty,Column,StartProgress,EndProgress,RQ Hero,RQ Card,RQ Min Lv,RQ Max Lv,XP Amount,Chars,Ready
Intellectweaver,TRUE,,,,4101,Intellectweaver,Win 2 games with an Intellect Hero,med,mid,,2,,,2,,200,49,TRUE
Wisdomweaver,TRUE,,,,2101,Wisdomweaver,Win 2 games with a Wisdom Hero,med,mid,,2,,,2,,200,42,TRUE
Heartweaver,TRUE,,,,3101,Heartweaver,Win 2 games with a Heart Hero,med,mid,,2,,,2,,200,40,TRUE
AdasResolve,TRUE,,,,102,Ada's Resolve,Play a game as Ada,easy,left,,1,,,2,,100,31,TRUE
SamyasSwiftness,TRUE,,,,1101,Samya's Swiftness,Play a game as Samya ,easy,left,,1,,,2,,100,38,TRUE
BouransShadow,TRUE,,,,3101,Bouran's Shadow,Play a game as Bouran ,easy,left,,1,,,2,,100,37,TRUE
ArisInsight,TRUE,,,,4101,Ari's Insight,Play a game as Ari ,easy,left,,1,,,2,,100,32,TRUE
LotusPatience,TRUE,,,,2101,Lotus' Patience,Play a game as Lotus ,easy,left,,1,,,2,,100,36,TRUE
AdasResolvePlus,TRUE,,,,102,Ada's Resolve +,Win 2 games as Ada ,med,mid,,2,,,2,,200,34,TRUE
SamyasSwiftnessII,TRUE,,,,1101,Samya's Swiftness +,Win 2 games as Samya ,med,mid,,2,,,2,,200,40,TRUE
BouransShadowII,TRUE,,,,3101,Bouran's Shadow +,Win 2 games as Bouran ,med,mid,,2,,,2,,200,39,TRUE
ArisInsightII,TRUE,,,,4101,Ari's Insight +,Win 2 games as Ari ,med,mid,,2,,,2,,200,34,TRUE
LotusPatienceII,TRUE,,,,2101,Lotus' Patience +,Win 2 games as Lotus ,med,mid,,2,,,2,,200,38,TRUE
EarthBattler,TRUE,,,,86,Earth Battler,Play 10 Earth cards,easy,left,,10,Ada,,2,,100,32,TRUE
MetalBattler,TRUE,,,,60,Metal Battler,Play 10 Metal cards,easy,left,,10,Ada,,2,,100,32,TRUE
AirBattler,TRUE,,,,1072,Air Battler,Play 10 Air cards,easy,left,,10,Samya,,2,,100,28,TRUE
FireBattler,TRUE,,,,1081,Fire Battler,Play 10 Fire cards,easy,left,,10,Samya,,2,,100,30,TRUE
DarkBattler,TRUE,,,,3061,Dark Battler,Play 10 Dark cards,easy,left,,10,Bouran,,2,,100,30,TRUE
LightBattler,TRUE,,,,3035,Light Battler,Play 10 Light cards,easy,left,,10,Bouran,,2,,100,32,TRUE
WaterBattler,TRUE,,,,4031,Water Battler,Play 10 Water cards,easy,left,,10,Ari,,2,,100,32,TRUE
MindBattler,TRUE,,,,2087,Mind Battler,Play 10 Mind cards,easy,left,,10,Ari,,2,,100,30,TRUE
AxelsVision,TRUE,,,,20050,Axel's Vision,Play a game as Axel ,easy,left,,1,Axel,,2,,100,33,TRUE
BanjosMirth,TRUE,,,,4074,Banjo's Mirth,Play a game as Banjo ,easy,left,,1,Banjo,,2,,100,34,TRUE
FoxsBravado,TRUE,,,,20051,Fox's Bravado,Play a game as Fox ,easy,left,,1,Fox,,2,,100,32,TRUE
HoriksBurden,TRUE,,,,3027,Horik's Burden,Play a game as Horik ,easy,left,,1,Horik,,2,,100,35,TRUE
IrisGrace,TRUE,,,,1127,Iris' Grace,Play a game as Iris ,easy,left,,1,Iris,,2,,100,31,TRUE
MaisBreakthrough,TRUE,,,,4118,Mai's Breakthrough,Play a game as Mai ,easy,left,,1,Mai,,2,,100,37,TRUE
MirasMettle,TRUE,,,,119,Mira's Mettle,Play a game as Mira ,easy,left,,1,Mira,,2,,100,33,TRUE
SittisSpite,TRUE,,,,3116,Sitti's Spite,Play a game as Sitti ,easy,left,,1,Sitti,,2,,100,34,TRUE
TitusTune,TRUE,,,,1068,Titus' Tune,Play a game as Titus ,easy,left,,1,Titus,,2,,100,32,TRUE
ZoeysJustice,TRUE,,,,1069,Zoey's Justice,Play a game as Zoey ,easy,left,,1,Zoey,,2,,100,34,TRUE
BigBird,TRUE,,,,1030,Big Bird,Attack with your Hero when they have 5 or more power,med,mid,,1,Samya,,2,,200,60,TRUE
ArcaneOverflow,TRUE,,,,32,Arcane Overflow,Do 40 damage to enemy Heroes using spells,med,mid,,40,Ari,,2,,200,56,TRUE
ZomboidWrangler,TRUE,,,,3122,Zomboid Wrangler,Summon Zomboid 5 times,easy,left,,5,Bouran,,40,,100,38,TRUE
Gravekeeper,TRUE,,,,3074,Gravekeeper,Have 30 or more dead Units in your graveyard in one game,hard,right,,1,Bouran,,2,,300,67,TRUE
RainbowRider2,TRUE,,,,2111,Rainbow Rider,Play two cards of each element in one game,hard,right,,1,Lotus,,9999,,300,55,TRUE
RainbowRider,TRUE,,,,2111,Rainbow Rider,Play two cards of each element in one game,hard,right,,1,Lotus,,2,,300,55,TRUE
Encore,TRUE,,,,3127,Encore,Summon 10+ Units from your graveyard in one game,hard,right,,1,Bouran,,2,,300,54,TRUE
WhatDoesntKillYou,TRUE,,,,88,What Doesn't Kill You...,Win a game in which your Hero took 30 or more total damage,hard,right,,1,Lotus,,2,,300,82,TRUE
DemonRush,TRUE,,,,1042,Demon Rush,Attack with your Hero 4+ times in one turn,easy,left,,1,Samya,,2,,100,52,TRUE
BalancePatch,TRUE,,,,1105,Balance Patch,Play 5 cards with Banner that usually don't have Banner,hard,right,,5,,,100,,300,68,TRUE
RecklessRage,TRUE,,,,1119,Reckless Rage,Have your Hero take 10+ damage in a single one of your own turns,easy,left,,1,Samya,,2,,100,77,TRUE
Annihilation,TRUE,,,,4115,Annihilation,Destroy 4+ enemy Units in one turn,easy,left,,1,Lotus,,2,,100,46,TRUE
DustDevil,TRUE,,,,2049,Dust Devil,Dust 10 cards in one game,easy,left,,1,,,50,,100,35,TRUE
Spellslinger,TRUE,,,,4129,Spellslinger,Play 20+ Spells in one game,easy,left,,1,Ari,,2,,100,39,TRUE
Beastmaster,TRUE,,,,1128,Beastmaster,Summon 20+ Units in one game,med,mid,,1,,,20,,200,39,TRUE
IronWill,TRUE,,,,68,Iron Will,Boost the stats of 5 ally Units,easy,left,,5,,,2,,100,40,TRUE
MasterofDeath,TRUE,FF_test,1,,3024,Master of Death,Trigger the Death effect of 10 ally Units,easy,left,,10,Bouran,,2,,100,56,TRUE
Deathcaller,TRUE,FF_test,2,,3121,Deathcaller,Trigger the Death effect of an ally while it's on the board,easy,left,,1,,3078,2,,100,70,TRUE
FriendlyFire,TRUE,FF_test,3,,4040,Friendly Fire,Destroy 10 of your own Units using your own spells and effects,med,mid,,10,,,100,,200,75,TRUE
PokeofDoom,TRUE,,,,2036,Poke of Doom,Defeat an enemy Hero at 1 health by doing exactly 1 damage,hard,right,,1,,,30,,300,70,TRUE
Guardbreaker,TRUE,,,,91,Guardbreaker,Destroy 10 enemy Units that have Guard or Armor ,med,mid,,10,,,10,,200,60,TRUE
RegeneratorPLUS,TRUE,,,,2009,Regenerator,Give 15 health to allies,easy,left,,15,,,10,,100,35,TRUE
CoupDeGrace,TRUE,,,,2119,Coup De Grace,Overkill the enemy Hero by 5 or more damage,hard,right,,1,,,50,,300,56,TRUE
UnfathomableWealth,TRUE,,,,2113,Unfathomable Wealth,Draw and/or Conjure 10 with spells,easy,left,,1,Lotus,,2,,100,53,TRUE
RageoftheDead,TRUE,,,,3049,Rage of the Dead,Trigger 15+ death effects with one use of Grave Roil,med,mid,,1,,3049,2,,200,68,TRUE
ContagiousVictory,TRUE,,,,20062,Contagious Victory,Defeat an enemy Hero using a Zomboid Death Effect,med,mid,,1,Bouran,,2,,200,67,TRUE
Onezeroonezeroone,TRUE,,,,20040,Onezeroonezeroone,Defeat the enemy Hero using Unophobia (Created by Hax),hard,right,,1,,4052,2,,300,71,TRUE
DidntNeedIt,TRUE,,,,20017,Didn't Need It,Win a game with a Mana Crystal in your hand,hard,right,,1,,,2,,300,57,TRUE
MasterAnimist,TRUE,,,,20039,Master Animist,Trigger Anima on ally Units 10 times,easy,left,,10,,104,80,,100,50,TRUE
VaporMaster,TRUE,,,,20054,Vapor Master,Trigger Vapors on ally Units 10 times,easy,left,,10,,,80,,100,49,TRUE
Bubbly,TRUE,,,,4067,Bubbly,Have an ally Bubbles with 10 or more health,hard,right,,1,,4067,50,,300,49,TRUE
Guarded,TRUE,,,,20036,Guarded,Play 10 Units with Guard,easy,left,,10,Ada,,2,,100,31,TRUE
Armoured,TRUE,,,,20001,Armoured,Play 10 Units with Armor,easy,left,,10,Lotus,,2,,100,32,TRUE
Dashing,TRUE,,,,1109,Dashing,Play 10 Units with Dash,easy,left,,10,Samya,,2,,100,30,TRUE
Lively,TRUE,,,,1053,Lively,Play 10 Units with Lifesteal,easy,left,,10,Lotus,,2,,100,34,TRUE
Stealthy,TRUE,,,,1016,Stealthy,Play 10 Units with Stealth,easy,left,,10,Samya,,2,,100,34,TRUE
Withered,TRUE,,,,24,Withered,Play 10 Units with Wither,easy,left,,10,Bouran,,2,,100,33,TRUE
PainandGain,TRUE,,,,1122,Pain and Gain,Play Soulpyre Titan for 0 mana,med,mid,,1,,1122,2,,200,43,TRUE
CrystalGrowth,TRUE,,,,2047,Crystal Growth,Gain 5 or more max mana using spells and effects in one game,med,mid,,1,,,2,,200,74,TRUE
ManaInvestment,TRUE,,,,20017,Mana Investment ,Spend 100+ Mana,easy,left,,100,,,2,,100,31,TRUE
MajorInvestment,TRUE,,,,20038,Major Investment,Spend 300+ Mana,med,mid,,300,,,2,,200,31,TRUE
MicroManagement,TRUE,,,,4113,Micro-Management,Attack with a Micron Drone 10 times,easy,left,,10,,4118,80,,100,51,TRUE
CloneArmy,TRUE,,,,4009,Clone Army,Play four or more of the same Unit in one game,hard,right,,1,,,60,,300,56,TRUE
DeadonArrival,TRUE,,,,3060,Dead on Arrival,Play a Unit and have it die in the same turn,easy,left,,1,Bouran,,2,,100,59,TRUE
Blighted,TRUE,,,,20064,Blighted,Add 20+ Blights to your opponent's decks,med,mid,,20,,2132,80,,200,48,TRUE
Gardener,TRUE,,,,4079,Gardener,Summon 10 Elderwood,easy,left,,10,,,50,,100,27,TRUE
ArmisEnvoy,TRUE,,,,133,Armis Envoy,Attack with an Armis Guard 10 times,easy,left,,10,,,80,,100,46,TRUE
ZomboidEnvoy,TRUE,,,,1096,Zomboid Envoy,Attack with a Zomboid 10 times,easy,left,,10,,,20,,100,43,TRUE
FullBoard,TRUE,,,,3126,Full Board,Both you and your opponent have six Units in play at the same time,hard,right,,1,,3126,2,,300,76,TRUE
ABiiiigStick,TRUE,,,,2094,A Biiiig Stick,Have an Elderwood with 8 power or more in play,med,mid,,1,,2094,2,,200,60,TRUE
DoubleRainbow,TRUE,,,,2011,Double Rainbow,Have 2+ cards of each element in your grave at once,med,mid,,1,Lotus,,2,,200,65,TRUE
EmptyHanded,TRUE,,,,2006,Empty-Handed,Win a game while your hand is empty,med,mid,,1,,,2,,200,47,TRUE
Stophittingyourself,TRUE,,,,4110,Stop hitting yourself!,Do damage to the enemy Hero with a Unit that started in their deck,med,mid,,1,,3031,2,,200,88,TRUE
RainbowResurrection,TRUE,,,,2043,Rainbow Resurrection,Resurrect Sky Phoenix 3 times in one game,hard,right,,1,,2043,2,,300,61,TRUE
WRATH,TRUE,,,,59,WRATH!,Destroy 4+ enemy Units with a single spell,med,mid,,1,,,2,,200,48,TRUE
Healer,TRUE,,,,2047,Healer,Recover 20+ health in one game,med,mid,,1,,,2,,200,36,TRUE
TheReturned,TRUE,,,,3132,The Returned,Summon the same Unit from your grave 3+ times in one game,hard,right,,1,,,2,,300,69,TRUE
ASmallSacrifice,TRUE,,,,20002,A Small Sacrifice,Destroy 5 of your own Units using spells that do not deal damage,hard,right,,5,,,100,,300,81,TRUE
LegionofArmis,TRUE,,,,2,Legion of Armis,Control six Armis Guard at once,med,mid,,1,,,2,,200,46,TRUE
HexboundHorde,TRUE,,,,3129,Hexbound Horde,Control six Zomboid at once,med,mid,,1,,,2,,200,41,TRUE
DieAgainLater,TRUE,,,,3027,Die Again Later,Trigger 20+ ally Unit's death effects in one game,hard,right,,1,,,2,,300,64,TRUE
Summoner,TRUE,,,,3050,Summoner,Trigger 10+ summon effects in one game,med,left,,1,Lotus,,2,,200,46,TRUE
Curseslinger,TRUE,,,,20028,Curse-slinger,Place 20+ enchants onto enemy Units in one game,hard,right,,1,,,200,,300,60,TRUE
BurnBabyBurn,TRUE,,,,20023,Burn Baby Burn!,Destroy 5 Units using the Flames enchant,med,mid,,5,,,50,,200,55,TRUE
Shatterer,TRUE,,,,20009,Shatterer,Destroy 5 Units that have the Frostbite enchant,med,mid,,5,,,50,,200,56,TRUE
Tidyup,TRUE,,,,3102,Tidy up,Replace or remove 5 or more attachments on Units/Heroes in one turn,med,mid,,1,,,2,,200,74,TRUE
MightofEarth,TRUE,,,,16,Might of Earth,Increase the power or health of 10 Units,easy,left,,10,,,2,,100,54,TRUE
Slayer,TRUE,,,,129,Slayer!,Trigger the Slay effects of 5+ Units in one game,easy,left,,1,,,100,,100,55,TRUE
Glorious,TRUE,,,,97,Glorious!,Trigger 5+ Glory effects in one game,med,mid,,1,,,200,,200,45,TRUE
Gifted,TRUE,,,,2010,Gifted,Force your opponent to draw 3 or more cards in one turn,med,mid,,1,,,2,,200,61,TRUE
Boing,TRUE,,,,1018,Boing!,Return 5+ Units to hand in one game,easy,left,,1,,,300,,100,41,TRUE
WhiteWhale,TRUE,,,,8,White Whale,"Destroy a Breacher, or use a Breacher to defeat your opponent",med,mid,,1,,8,2,,200,72,TRUE
Vampire,TRUE,,,,1025,Vampire,Steal 15 health from the enemy Hero using lifesteal cards,easy,left,,15,Bouran,,2,,100,64,TRUE
GlizzyGobbler,TRUE,,,,20060,Glizzy Gobbler,Play 10+ Glizzies,med,left,,10,,2108,2,,200,31,TRUE
BigSpender,TRUE,,,,2113,Big Spender,Spend 20+ mana in one turn,hard,right,,1,Lotus,,2,,300,37,TRUE
DinoDiscount,TRUE,,,,109,Dino Discount,Play 10 cards that have had their cost reduced,med,mid,,10,,,40,,200,59,TRUE
HallowedSwords,TRUE,,,,1027,Hallowed Swords,Attack with an Armis Guard that has Wither and Lifesteal,easy,left,,1,,122,600,,100,71,TRUE
Manetastic,TRUE,,,,40,Manetastic,Boost the stats of 10 or more Units with one use of Glorious Mane,easy,left,,1,,40,2,,100,75,TRUE
MightyStrike,TRUE,,,,58,Mighty Strike,Attack with a Unit that has 15 Power or more,med,mid,,1,,,50,,200,57,TRUE
MightyThick,TRUE,,,,120,Mighty Thick,Attack with a Unit that has 15 Health or more,med,mid,,1,,,50,,200,57,TRUE
Oops,TRUE,,,,20032,Oops!,Attack an enemy Unit without dealing damage to it,easy,left,,1,Bouran,,2,,100,54,TRUE
PleaseNerf,TRUE,,,,3103,Please Nerf!,Trigger Broodwitch's effect in a game,hard,right,,1,,,2,,300,49,TRUE
LockedUp,TRUE,,,,20055,Locked Up,Attach Chains to 10 Units,easy,left,,10,,,50,,100,34,TRUE
Shhhhhhh,TRUE,,,,20048,Shhhhhhh!,Attach Silence to 10 Units,hard,right,,10,,,50,,300,35,TRUE
ConcedingwithStyle,TRUE,,,,1066,Conceding with Style,Defeat your own Hero using a spell,hard,right,,1,,,40,,300,54,TRUE
Combotastic,TRUE,,,,1046,Combotastic!,Play 4+ Spells and/or Units in one turn,easy,left,,1,Ari,,2,,100,51,TRUE
ByMyHand,TRUE,,,,1063,By My Hand!,Defeat the enemy Hero with an attack from your own Hero,med,left,,1,,,2,,200,66,TRUE
Fireworks,TRUE,,,,3117,Fireworks!,Do 40 Damage using Festival Cannon's Death effect,med,mid,,40,,3117,2,,200,59,TRUE
Ribbit,TRUE,,,,4045,Ribbit!,Turn 5 enemy Units into Hoplites,easy,left,,5,,2112,9999,,100,39,TRUE
Overkill,TRUE,,,,115,Overkill,Defeat the enemy Hero while destroying one or more of their Units at the same time,hard,right,,1,,,2,,300,90,TRUE
Magnificant,TRUE,,,,4083,Magnificant,Play 10 cards that have had their cost reduced,med,mid,,10,Lotus,,2,,200,57,TRUE
Sequence,TRUE,,,,4043,Sequence,"Play a 1 cost, 2 cost, 3 cost, and 4 cost cost card, in a row",hard,right,,1,,,2,,300,69,TRUE
SkillwiththeQuill,TRUE,,,,2128,Skill with the Quill,Give a unit +8/+8 with Cygnan Secrets,hard,right,,1,,2128,2,,300,57,TRUE
BakersDozen,TRUE,,,,1042,Baker's Dozen,Attack with your Hero 13 times,easy,left,,13,,,2,,100,43,TRUE
